user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user3,workstation4,workstation4,(v35.0),(licserver/7788,1880),start,Tue,4/14,0:47
user3,workstation4,workstation4,(v35.0),(licserver/7788,1882),start,Tue,4/14,1:48
user3,workstation4,workstation4,(v35.0),(licserver/7788,1882),start,Tue,4/14,1:48
user3,workstation4,workstation4,(v35.0),(licserver/7788,1885),start,Tue,4/14,2:06
user3,workstation4,workstation4,(v35.0),(licserver/7788,1885),start,Tue,4/14,2:06
user3,workstation4,workstation4,(v35.0),(licserver/7788,1886),start,Tue,4/14,2:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,1886),start,Tue,4/14,2:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,1886),start,Tue,4/14,2:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,1886),start,Tue,4/14,2:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,1886),start,Tue,4/14,2:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,1886),start,Tue,4/14,2:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,1886),start,Tue,4/14,2:17
user3,workstation4,workstation4,(v35.0),(licserver/7788,1925),start,Mon,4/13,15:48
user3,workstation4,workstation4,(v35.0),(licserver/7788,1925),start,Mon,4/13,15:48
user3,workstation4,workstation4,(v35.0),(licserver/7788,2727),start,Tue,4/14,3:14
user3,workstation4,workstation4,(v35.0),(licserver/7788,2727),start,Tue,4/14,3:14
user3,workstation4,workstation4,(v35.0),(licserver/7788,2727),start,Tue,4/14,3:14
user3,workstation4,workstation4,(v35.0),(licserver/7788,2727),start,Tue,4/14,3:14
user3,workstation4,workstation4,(v35.0),(licserver/7788,2727),start,Tue,4/14,3:14
user3,workstation4,workstation4,(v35.0),(licserver/7788,2727),start,Tue,4/14,3:14
user3,workstation4,workstation4,(v35.0),(licserver/7788,2727),start,Tue,4/14,3:14
user3,workstation4,workstation4,(v35.0),(licserver/7788,3015),start,Mon,4/13,23:30
user3,workstation4,workstation4,(v35.0),(licserver/7788,3015),start,Mon,4/13,23:30
user3,workstation4,workstation4,(v35.0),(licserver/7788,3017),start,Tue,4/14,4:30
user3,workstation4,workstation4,(v35.0),(licserver/7788,3017),start,Tue,4/14,4:30
user3,workstation4,workstation4,(v35.0),(licserver/7788,3017),start,Tue,4/14,4:30
user3,workstation4,workstation4,(v35.0),(licserver/7788,4033),start,Mon,4/13,22:41
user3,workstation4,workstation4,(v35.0),(licserver/7788,4033),start,Mon,4/13,22:41
user3,workstation4,workstation4,(v35.0),(licserver/7788,4218),start,Tue,4/14,7:47
user3,workstation4,workstation4,(v35.0),(licserver/7788,4218),start,Tue,4/14,7:47
